,instance_size_measure,correlation,pvalue
0,A,0.746852031188299,7.1080718553522415e-65
1,B,-0.01270498443664275,0.8109339196423617
2,O,0.35023469675228414,9.67791323213624e-12
3,Q,0.14114754664780607,0.007564014052198265
4,AB,0.6500807515744903,2.974193216328999e-44
5,AO,0.8210307296313009,1.9322737571337978e-88
6,AQ,0.7002966844996178,6.469463243073161e-54
7,BO,0.30648293819460115,3.350713552677235e-09
8,BQ,0.10490019676547531,0.047642081203502384
9,OQ,0.41505106441793194,2.6806731326268e-16
10,ABO,0.7475735509578114,4.604082520669242e-65
11,ABQ,0.6155483805144661,1.322760275282204e-38
12,AOQ,0.8340611161368601,1.0035543818103558e-93
13,BOQ,0.35493910355091923,4.8773856415355626e-12
14,ABOQ,0.7503570087208133,8.501211152873798e-66
