,A,B,O,Q,assignments,distance_without_transverse,distance_with_transverse,first_optimisation_runtime,second_optimisation_runtime,total_optimisation_runtime
0,3,6,3,5,"{1: (1, 2), 2: (1, 1), 3: (1, 1), 4: (1, 2)}",8.0,10.0,0.0004088878631591797,0.000564131885766983,0.008878100663423538
1,3,6,3,5,"{1: (1, 2), 2: (1, 1), 3: (1, 1), 4: (1, 2)}",24.0,30.0,0.0001819133758544922,0.0005810931324958801,0.004877597093582153
2,3,6,3,5,"{1: (1, 3), 2: (1, 3), 3: (1, 2), 4: (1, 1), 5: (1, 4), 6: (1, 4), 7: (1, 1), 8: (1, 2)}",12.0,14.0,0.00012993812561035156,0.0008329227566719055,0.002606187015771866
3,3,6,3,5,"{1: (1, 1), 2: (1, 2), 3: (1, 3), 4: (1, 3), 5: (1, 4), 6: (1, 4), 7: (1, 2), 8: (1, 1)}",12.0,14.0,0.00013399124145507812,0.002578631043434143,0.008277829736471176
4,3,6,3,5,"{1: (1, 1), 2: (1, 2), 3: (1, 3), 4: (1, 3), 5: (1, 4), 6: (1, 4), 7: (1, 2), 8: (1, 1)}",36.0,42.0,0.00015997886657714844,0.0031373947858810425,0.01568518579006195
5,3,6,3,5,"{1: (1, 4), 2: (1, 3), 3: (1, 1), 4: (1, 3), 5: (1, 4), 6: (1, 1), 7: (1, 2), 8: (1, 2)}",36.0,42.0,0.00016498565673828125,0.003198523074388504,0.02239794284105301
6,3,6,3,5,"{1: (1, 6), 2: (1, 3), 3: (1, 3), 4: (1, 5), 5: (1, 2), 6: (1, 2), 7: (1, 6), 8: (1, 1), 9: (1, 5), 10: (1, 1), 11: (1, 4), 12: (1, 4)}",16.0,18.0,0.00014019012451171875,0.0016407296061515808,0.003700651228427887
7,3,6,3,5,"{1: (1, 3), 2: (1, 5), 3: (1, 2), 4: (1, 2), 5: (1, 1), 6: (1, 6), 7: (1, 4), 8: (1, 1), 9: (1, 6), 10: (1, 3), 11: (1, 4), 12: (1, 5)}",16.0,18.0,0.00012612342834472656,0.004266191273927689,0.013019505888223648
8,3,6,3,5,"{1: (1, 6), 2: (1, 3), 3: (1, 3), 4: (1, 5), 5: (1, 2), 6: (1, 2), 7: (1, 6), 8: (1, 1), 9: (1, 5), 10: (1, 1), 11: (1, 4), 12: (1, 4)}",48.0,54.0,0.00016498565673828125,0.0024247094988822937,0.0067766644060611725
9,3,6,3,5,"{1: (1, 2), 2: (1, 5), 3: (1, 1), 4: (1, 3), 5: (1, 3), 6: (1, 2), 7: (1, 4), 8: (1, 1), 9: (1, 4), 10: (1, 6), 11: (1, 6), 12: (1, 5)}",48.0,54.0,0.0001628398895263672,0.004671406000852585,0.025020301342010498
10,3,6,3,5,"{1: (1, 2), 2: (1, 1), 5: (1, 1), 8: (1, 2), 6: (2, 1), 7: (2, 1), 9: (2, 2), 12: (2, 2), 3: (3, 2), 4: (3, 2), 10: (3, 1), 11: (3, 1)}",8.0,10.0,0.0008099079132080078,0.001055099070072174,0.004207473248243332
11,3,6,3,5,"{9: (1, 2), 10: (1, 1), 11: (1, 1), 12: (1, 2), 1: (2, 1), 2: (2, 2), 5: (2, 2), 7: (2, 1), 3: (3, 2), 4: (3, 2), 6: (3, 1), 8: (3, 1)}",8.0,10.0,0.0011050701141357422,0.001052718609571457,0.008171427994966507
12,3,6,3,5,"{1: (1, 2), 2: (1, 1), 7: (1, 1), 9: (1, 2), 3: (2, 1), 4: (2, 2), 5: (2, 2), 6: (2, 1), 8: (3, 2), 10: (3, 2), 11: (3, 1), 12: (3, 1)}",24.0,30.0,0.00463414192199707,0.0013188086450099945,0.013565290719270706
13,3,6,3,5,"{2: (1, 2), 3: (1, 1), 6: (1, 1), 7: (1, 2), 1: (2, 1), 9: (2, 2), 10: (2, 2), 12: (2, 1), 4: (3, 2), 5: (3, 1), 8: (3, 1), 11: (3, 2)}",32.0,40.0,0.0022840499877929688,0.0013417750597000122,0.013739127665758133
14,3,6,3,5,"{2: (1, 4), 3: (1, 2), 9: (1, 3), 13: (1, 1), 15: (1, 1), 19: (1, 2), 20: (1, 3), 21: (1, 4), 10: (2, 2), 12: (2, 2), 14: (2, 3), 17: (2, 4), 18: (2, 1), 22: (2, 1), 23: (2, 4), 24: (2, 3), 1: (3, 3), 4: (3, 3), 5: (3, 2), 6: (3, 1), 7: (3, 4), 8: (3, 4), 11: (3, 1), 16: (3, 2)}",12.0,14.0,0.0009441375732421875,0.00306764617562294,0.007835153490304947
