,aisles,bays,num_orders,order_size,avg_distance,avg_runtime
0,1,5,1,3,14.0,0.0
1,1,5,1,5,14.0,0.0
2,1,5,1,10,14.0,0.0
3,1,5,5,3,70.0,0.0
4,1,5,5,5,70.0,0.0
5,1,5,5,10,70.0,0.002
6,1,5,10,3,140.0,0.001
7,1,5,10,5,140.0,0.001
8,1,5,10,10,140.0,0.0
9,1,5,15,3,210.0,0.001
10,1,5,15,5,210.0,0.001
11,1,5,15,10,210.0,0.001
12,1,5,20,3,280.0,0.001
13,1,5,20,5,280.0,0.001
14,1,5,20,10,280.0,0.001
15,1,10,1,3,24.0,0.0
16,1,10,1,5,24.0,0.0
17,1,10,1,10,24.0,0.0
18,1,10,1,15,24.0,0.0
19,1,10,1,20,24.0,0.0
20,1,10,5,3,120.0,0.0
21,1,10,5,5,120.0,0.0
22,1,10,5,10,120.0,0.0
23,1,10,5,15,120.0,0.0
24,1,10,5,20,120.0,0.0
25,1,10,10,3,240.0,0.0
26,1,10,10,5,240.0,0.0
27,1,10,10,10,240.0,0.0
28,1,10,10,15,240.0,0.001
29,1,10,10,20,240.0,0.0
30,1,10,15,3,360.0,0.001
31,1,10,15,5,360.0,0.001
32,1,10,15,10,360.0,0.001
33,1,10,15,15,360.0,0.001
34,1,10,15,20,360.0,0.001
35,1,10,20,3,480.0,0.001
36,1,10,20,5,480.0,0.001
37,1,10,20,10,480.0,0.001
38,1,10,20,15,480.0,0.002
39,1,10,20,20,480.0,0.001
40,1,15,1,3,34.0,0.001
41,1,15,1,5,34.0,0.0
42,1,15,1,10,34.0,0.0
43,1,15,1,15,34.0,0.0
44,1,15,1,20,34.0,0.0
45,1,15,5,3,170.0,0.0
46,1,15,5,5,170.0,0.0
47,1,15,5,10,170.0,0.0
48,1,15,5,15,170.0,0.0
49,1,15,5,20,170.0,0.0
50,1,15,10,3,340.0,0.001
51,1,15,10,5,340.0,0.001
52,1,15,10,10,340.0,0.001
53,1,15,10,15,340.0,0.001
54,1,15,10,20,340.0,0.001
55,1,15,15,3,510.0,0.001
56,1,15,15,5,510.0,0.001
57,1,15,15,10,510.0,0.001
58,1,15,15,15,510.0,0.001
59,1,15,15,20,510.0,0.001
60,1,15,20,3,680.0,0.001
61,1,15,20,5,680.0,0.001
62,1,15,20,10,680.0,0.002
63,1,15,20,15,680.0,0.002
64,1,15,20,20,680.0,0.001
65,1,20,1,3,44.0,0.0
66,1,20,1,5,44.0,0.0
67,1,20,1,10,44.0,0.0
68,1,20,1,15,44.0,0.0
69,1,20,1,20,44.0,0.0
70,1,20,5,3,220.0,0.0
71,1,20,5,5,220.0,0.001
72,1,20,5,10,220.0,0.0
73,1,20,5,15,220.0,0.0
74,1,20,5,20,220.0,0.001
75,1,20,10,3,440.0,0.001
76,1,20,10,5,440.0,0.0
77,1,20,10,10,440.0,0.003
78,1,20,10,15,440.0,0.001
79,1,20,10,20,440.0,0.001
80,1,20,15,3,660.0,0.001
81,1,20,15,5,660.0,0.001
82,1,20,15,10,660.0,0.001
83,1,20,15,15,660.0,0.001
84,1,20,15,20,660.0,0.001
85,1,20,20,3,880.0,0.001
86,1,20,20,5,880.0,0.001
87,1,20,20,10,880.0,0.001
88,1,20,20,15,880.0,0.001
89,1,20,20,20,880.0,0.001
90,3,5,1,3,14.0,0.002
91,3,5,1,5,14.0,0.008
92,3,5,1,10,14.0,0.011
93,3,5,1,15,14.0,0.008
94,3,5,1,20,14.0,0.006
95,3,5,5,3,70.0,0.016
96,3,5,5,5,70.0,0.012
97,3,5,5,10,98.0,0.052
98,3,5,5,15,126.0,0.028
99,3,5,5,20,126.0,0.023
100,3,5,10,3,144.0,0.034
101,3,5,10,5,182.0,0.15
102,3,5,10,10,224.0,0.154
103,3,5,10,15,252.0,0.042
104,3,5,10,20,266.0,0.05
105,3,5,15,3,224.0,0.146
106,3,5,15,5,282.0,0.192
107,3,5,15,10,364.0,0.433
108,3,5,15,15,392.0,0.046
109,3,5,15,20,406.0,0.032
110,3,5,20,3,326.0,0.26
111,3,5,20,5,408.0,0.81
112,3,5,20,10,504.0,1.762
113,3,5,20,15,532.0,0.125
114,3,5,20,20,546.0,0.073
115,3,10,1,3,24.0,0.002
116,3,10,1,5,24.0,0.009
117,3,10,1,10,24.0,0.002
118,3,10,1,15,24.0,0.003
119,3,10,1,20,24.0,0.007
120,3,10,5,3,120.0,0.007
121,3,10,5,5,120.0,0.009
122,3,10,5,10,120.0,0.01
123,3,10,5,15,144.0,0.084
124,3,10,5,20,192.0,0.167
125,3,10,10,3,240.0,0.013
126,3,10,10,5,240.0,0.013
127,3,10,10,10,336.0,0.206
128,3,10,10,15,360.0,0.332
129,3,10,10,20,408.0,0.381
130,3,10,15,3,360.0,0.015
131,3,10,15,5,386.0,0.141
132,3,10,15,10,552.0,1.121
133,3,10,15,15,600.0,0.774
134,3,10,15,20,624.0,0.694
135,3,10,20,3,480.0,0.024
136,3,10,20,5,600.0,1.222
137,3,10,20,10,744.0,2.186
138,3,10,20,15,840.0,2.77
139,3,10,20,20,888.0,1.353
140,3,15,1,3,34.0,0.014
141,3,15,1,5,34.0,0.004
142,3,15,1,10,34.0,0.012
143,3,15,1,15,34.0,0.01
144,3,15,1,20,34.0,0.009
145,3,15,5,3,170.0,0.023
146,3,15,5,5,170.0,0.023
147,3,15,5,10,170.0,0.034
148,3,15,5,15,170.0,0.04
149,3,15,5,20,204.0,0.083
150,3,15,10,3,340.0,0.011
151,3,15,10,5,340.0,0.013
152,3,15,10,10,374.0,0.133
153,3,15,10,15,442.0,0.241
154,3,15,10,20,510.0,0.534
155,3,15,15,3,510.0,0.018
156,3,15,15,5,510.0,0.019
157,3,15,15,10,646.0,1.422
158,3,15,15,15,748.0,0.85
159,3,15,15,20,816.0,0.964
160,3,15,20,3,680.0,0.031
161,3,15,20,5,714.0,0.16
162,3,15,20,10,952.0,2.145
163,3,15,20,15,1088.0,2.784
164,3,15,20,20,1156.0,3.584
165,3,20,1,3,44.0,0.003
166,3,20,1,5,44.0,0.003
167,3,20,1,10,44.0,0.008
168,3,20,1,15,44.0,0.008
169,3,20,1,20,44.0,0.015
170,3,20,5,3,220.0,0.039
171,3,20,5,5,220.0,0.035
172,3,20,5,10,220.0,0.035
173,3,20,5,15,220.0,0.042
174,3,20,5,20,220.0,0.034
175,3,20,10,3,440.0,0.014
176,3,20,10,5,440.0,0.023
177,3,20,10,10,440.0,0.017
178,3,20,10,15,528.0,0.246
179,3,20,10,20,616.0,0.597
180,3,20,15,3,660.0,0.019
181,3,20,15,5,660.0,0.018
182,3,20,15,10,704.0,0.217
183,3,20,15,15,924.0,1.682
184,3,20,15,20,968.0,1.381
185,3,20,20,3,880.0,0.023
186,3,20,20,5,880.0,0.026
187,3,20,20,10,1188.0,7.118
188,3,20,20,15,1320.0,5.393
189,3,20,20,20,1452.0,9.553
190,5,5,1,3,14.0,0.004
191,5,5,1,5,14.0,0.017
192,5,5,1,10,14.0,0.019
193,5,5,1,15,14.0,0.015
194,5,5,1,20,14.0,0.01
195,5,5,5,3,70.0,0.047
196,5,5,5,5,70.0,0.068
197,5,5,5,10,92.0,0.354
198,5,5,5,15,122.0,1.166
199,5,5,5,20,150.0,1.262
200,5,5,10,3,144.0,0.25
201,5,5,10,5,158.0,0.453
202,5,5,10,10,244.0,45.405
203,5,5,10,15,304.0,253.725
204,5,5,10,20,356.0,225.721
205,5,5,15,3,226.0,0.359
206,5,5,15,5,270.0,11.496
207,5,5,15,10,410.0,490.685
208,5,5,20,3,304.0,1.566
209,5,5,20,5,398.0,105.558
210,5,10,1,3,24.0,0.007
211,5,10,1,5,24.0,0.03
212,5,10,1,10,24.0,0.029
213,5,10,1,15,24.0,0.029
214,5,10,1,20,24.0,0.024
215,5,10,5,3,120.0,0.074
216,5,10,5,5,120.0,0.054
217,5,10,5,10,120.0,0.058
218,5,10,5,15,128.0,0.299
219,5,10,5,20,152.0,0.869
220,5,10,10,3,240.0,0.086
221,5,10,10,5,240.0,0.1
222,5,10,10,10,264.0,4.218
223,5,10,10,15,350.0,40.625
224,5,10,10,20,430.0,394.036
225,5,10,15,3,360.0,0.251
226,5,10,15,5,374.0,1.285
227,5,10,15,10,470.0,38.656
228,5,10,20,3,486.0,0.205
229,5,10,20,5,506.0,2.165
230,5,10,20,10,714.0,2200.386
231,5,15,1,3,34.0,0.009
232,5,15,1,5,34.0,0.006
233,5,15,1,10,34.0,0.037
234,5,15,1,15,34.0,0.031
235,5,15,1,20,34.0,0.029
236,5,15,5,3,170.0,0.082
237,5,15,5,5,170.0,0.06
238,5,15,5,10,170.0,0.071
239,5,15,5,15,170.0,0.096
240,5,15,5,20,174.0,0.373
241,5,15,10,3,340.0,0.074
242,5,15,10,5,340.0,0.086
243,5,15,10,10,348.0,0.36
244,5,15,10,15,390.0,9.117
245,5,15,10,20,432.0,16.501
246,5,15,15,3,510.0,0.099
247,5,15,15,5,514.0,0.79
248,5,15,15,10,538.0,4.012
249,5,15,15,15,706.0,336.095
250,5,15,15,20,810.0,1344.632
251,5,15,20,3,680.0,0.128
252,5,15,20,5,692.0,0.926
253,5,15,20,10,822.0,305.068
254,5,20,1,3,44.0,0.013
255,5,20,1,5,44.0,0.035
256,5,20,1,10,44.0,0.026
257,5,20,1,15,44.0,0.037
258,5,20,1,20,44.0,0.041
259,5,20,5,3,220.0,0.075
260,5,20,5,5,220.0,0.075
261,5,20,5,10,220.0,0.082
262,5,20,5,15,220.0,0.11
263,5,20,5,20,224.0,0.113
264,5,20,10,3,440.0,0.117
265,5,20,10,5,440.0,0.085
266,5,20,10,10,440.0,0.138
267,5,20,10,15,452.0,0.577
268,5,20,10,20,500.0,5.749
269,5,20,15,3,660.0,0.109
270,5,20,15,5,660.0,0.16
271,5,20,15,10,680.0,2.404
272,5,20,15,15,740.0,37.436
273,5,20,15,20,904.0,1130.021
274,5,20,20,3,880.0,0.157
275,5,20,20,5,880.0,0.213
276,5,20,20,10,912.0,7.174
277,5,20,20,15,1184.0,3441.147
278,10,5,1,3,14.0,0.024
279,10,5,1,5,14.0,0.039
280,10,5,1,10,14.0,0.043
281,10,5,1,15,14.0,0.026
282,10,5,1,20,14.0,0.023
283,10,5,5,3,70.0,0.154
284,10,5,5,5,74.0,0.189
285,10,5,5,10,94.0,1.872
286,10,5,5,15,116.0,13.836
287,10,5,5,20,148.0,260.797
288,10,5,10,3,146.0,0.308
289,10,5,10,5,158.0,1.212
290,10,5,10,10,228.0,1301.405
291,10,5,15,3,230.0,1.004
292,10,5,15,5,268.0,41.253
293,10,5,20,3,322.0,7.899
294,10,5,20,5,378.0,256.651
295,10,10,1,3,24.0,0.02
296,10,10,1,5,24.0,0.018
297,10,10,1,10,24.0,0.042
298,10,10,1,15,24.0,0.066
299,10,10,1,20,24.0,0.047
300,10,10,5,3,120.0,0.168
301,10,10,5,5,120.0,0.193
302,10,10,5,10,124.0,0.446
303,10,10,5,15,132.0,0.845
304,10,10,5,20,156.0,9.347
305,10,10,10,3,240.0,0.311
306,10,10,10,5,240.0,0.344
307,10,10,10,10,262.0,8.375
308,10,10,10,15,316.0,815.152
309,10,10,15,3,360.0,0.385
310,10,10,15,5,376.0,4.347
311,10,10,15,10,452.0,3009.274
312,10,10,20,3,490.0,0.83
313,10,10,20,5,512.0,15.434
314,10,15,1,3,34.0,0.029
315,10,15,1,5,34.0,0.032
316,10,15,1,10,34.0,0.034
317,10,15,1,15,34.0,0.06
318,10,15,1,20,34.0,0.061
319,10,15,5,3,170.0,0.18
320,10,15,5,5,170.0,0.278
321,10,15,5,10,170.0,0.369
322,10,15,5,15,174.0,0.395
323,10,15,5,20,178.0,0.925
324,10,15,10,3,340.0,0.294
325,10,15,10,5,340.0,0.335
326,10,15,10,10,352.0,2.156
327,10,15,10,15,368.0,7.669
328,10,15,10,20,428.0,3544.88
329,10,15,15,3,510.0,0.416
330,10,15,15,5,512.0,0.64
331,10,15,15,10,544.0,34.685
332,10,15,20,3,680.0,0.485
333,10,15,20,5,692.0,1.175
334,10,15,20,10,752.0,339.33
335,10,20,1,3,44.0,0.082
336,10,20,1,5,44.0,0.088
337,10,20,1,10,44.0,0.102
338,10,20,1,15,44.0,0.117
339,10,20,1,20,44.0,0.186
340,10,20,5,3,220.0,0.475
341,10,20,5,5,220.0,0.382
342,10,20,5,10,220.0,0.491
343,10,20,5,15,220.0,0.524
344,10,20,5,20,222.0,0.754
345,10,20,10,3,440.0,0.447
346,10,20,10,5,440.0,0.495
347,10,20,10,10,444.0,1.335
348,10,20,10,15,456.0,5.069
349,10,20,10,20,476.0,57.391
350,10,20,15,3,660.0,0.448
351,10,20,15,5,660.0,0.504
352,10,20,15,10,680.0,6.603
353,10,20,15,15,716.0,77.973
354,10,20,20,3,880.0,0.655
355,10,20,20,5,884.0,1.0
356,10,20,20,10,920.0,38.831
