,aisles,bays,num_orders,order_size,avg_distance,avg_runtime
0,1,5,1,3,14.0,0.0
1,1,5,1,5,14.0,0.0
2,1,5,5,3,70.0,0.001
3,1,5,5,5,70.0,0.001
4,1,5,10,3,140.0,0.002
5,1,5,10,5,140.0,0.001
6,1,10,1,3,24.0,0.0
7,1,10,1,5,24.0,0.001
8,1,10,5,3,120.0,0.001
9,1,10,5,5,120.0,0.0
10,1,10,10,3,240.0,0.001
11,1,10,10,5,240.0,0.003
12,3,5,1,3,14.0,0.003
13,3,5,1,5,14.0,0.017
14,3,5,5,3,70.0,0.025
15,3,5,5,5,70.0,0.014
16,3,5,10,3,140.0,0.011
17,3,5,10,5,182.0,0.2
18,3,10,1,3,24.0,0.002
19,3,10,1,5,24.0,0.002
20,3,10,5,3,120.0,0.011
21,3,10,5,5,120.0,0.013
22,3,10,10,3,240.0,0.016
23,3,10,10,5,240.0,0.021
24,5,5,1,3,14.0,0.006
25,5,5,1,5,14.0,0.027
26,5,5,5,3,70.0,0.09
27,5,5,5,5,70.0,0.091
28,5,5,10,3,142.0,0.118
29,5,5,10,5,156.0,0.562
30,5,10,1,3,24.0,0.005
31,5,10,1,5,24.0,0.027
32,5,10,5,3,120.0,0.072
33,5,10,5,5,120.0,0.077
34,5,10,10,3,240.0,0.115
35,5,10,10,5,240.0,0.1
